ID,Symbol,Security,Wikipedia_URL,Cluster
118,CAG,Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,10
119,COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,2
120,ED,Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,2
121,STZ,Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,9
122,CEG,Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,2
123,COO,Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies,-1
124,CPRT,Copart,https://en.wikipedia.org/wiki/Copart,12
125,GLW,Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.,7
126,CPAY,Corpay,https://en.wikipedia.org/wiki/Corpay,23
127,CTVA,Corteva,https://en.wikipedia.org/wiki/Corteva,-1
128,CSGP,CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,14
129,COST,Costco,https://en.wikipedia.org/wiki/Costco,18
130,CTRA,Coterra,https://en.wikipedia.org/wiki/Coterra,2
131,CRWD,CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike,-1
132,CCI,Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,5
133,CSX,CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,-1
134,CMI,Cummins,https://en.wikipedia.org/wiki/Cummins,15
135,CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,4
136,DHR,Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,20
137,DRI,Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,18
138,DDOG,Datadog,https://en.wikipedia.org/wiki/Datadog,32
139,DVA,DaVita,https://en.wikipedia.org/wiki/DaVita,20
140,DAY,Dayforce,https://en.wikipedia.org/wiki/Dayforce,32
141,DECK,Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,18
142,DE,Deere & Company,https://en.wikipedia.org/wiki/John_Deere,15
143,DELL,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,-1
144,DAL,Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,17
145,DVN,Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,2
146,DXCM,Dexcom,https://en.wikipedia.org/wiki/Dexcom,20
147,FANG,Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,2
148,DLR,Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,5
149,DG,Dollar General,https://en.wikipedia.org/wiki/Dollar_General,18
150,DLTR,Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,18
151,D,Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,2
152,DPZ,Domino's,https://en.wikipedia.org/wiki/Domino%27s,18
153,DASH,DoorDash,https://en.wikipedia.org/wiki/DoorDash,18
154,DOV,Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,8
155,DOW,Dow Inc.,https://en.wikipedia.org/wiki/Dow_Chemical_Company,8
156,DHI,D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,18
157,DTE,DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,2
158,DUK,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,2
159,DD,DuPont,https://en.wikipedia.org/wiki/DuPont,8
160,EMN,Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,8
161,ETN,Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,2
162,EBAY,eBay Inc.,https://en.wikipedia.org/wiki/EBay,13
163,ECL,Ecolab,https://en.wikipedia.org/wiki/Ecolab,-1
164,EIX,Edison International,https://en.wikipedia.org/wiki/Edison_International,2
165,EW,Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,20
166,EA,Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,31
167,ELV,Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,4
168,EME,Emcor,https://en.wikipedia.org/wiki/Emcor,2
169,EMR,Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric,2
170,ETR,Entergy,https://en.wikipedia.org/wiki/Entergy,2
171,EOG,EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,2
172,EPAM,EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems,31
173,EQT,EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,2
174,EFX,Equifax,https://en.wikipedia.org/wiki/Equifax,25
175,EQIX,Equinix,https://en.wikipedia.org/wiki/Equinix,5
176,EQR,Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential,5
177,ERIE,Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group,27
178,ESS,Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust,5
179,EL,Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,18
180,EG,Everest Group,https://en.wikipedia.org/wiki/Everest_Group,27
181,EVRG,Evergy,https://en.wikipedia.org/wiki/Evergy,2
182,ES,Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy,2
183,EXC,Exelon,https://en.wikipedia.org/wiki/Exelon,2
184,EXE,Expand Energy,https://en.wikipedia.org/wiki/Expand_Energy,2
185,EXPE,Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group,14
186,EXPD,Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International,13
187,EXR,Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage,5
188,XOM,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,2
189,FFIV,"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc.",25
190,FDS,FactSet,https://en.wikipedia.org/wiki/FactSet,25
191,FICO,Fair Isaac,https://en.wikipedia.org/wiki/FICO,25
192,FAST,Fastenal,https://en.wikipedia.org/wiki/Fastenal,13
193,FRT,Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,5
194,FDX,FedEx,https://en.wikipedia.org/wiki/FedEx,13
195,FIS,Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company),25
196,FITB,Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,24
197,FSLR,First Solar,https://en.wikipedia.org/wiki/First_Solar,30
198,FE,FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy,2
199,FI,Fiserv,https://en.wikipedia.org/wiki/Fiserv,25
200,F,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,16
201,FTNT,Fortinet,https://en.wikipedia.org/wiki/Fortinet,25
202,FTV,Fortive,https://en.wikipedia.org/wiki/Fortive,25
