vector_index,ID,Symbol,Security,Wikipedia_URL,Symbol_meta,Security_meta,Wikipedia_URL_meta,Intro,cluster,cluster_prob,umap_x,umap_y,cluster_str,hover
37,38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,"Apollo Global Management, Inc. is an American asset management firm that primarily invests in alternative assets. As of 2025, the company had $840 billion of assets under management, including $392 billion invested in credit, including mezzanine capital, hedge funds, non-performing loans, and collateralized loan obligations, $99 billion invested in private equity, and $46.2 billion invested in real assets, which includes real estate and infrastructure. The company invests money on behalf of pension funds, financial endowments, and sovereign wealth funds, as well as other institutional and individual investors.",-1,0.0,-0.070671886,0.15190855,noise,"ID: 38
Symbol: APO
Security: Apollo Global Management
Cluster: noise
Prob: 0.000

Apollo Global Management, Inc. is an American asset management firm that primarily invests in alternative assets. As of 2025, the company had $840 billion of assets under management, including $392..."
38,39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, in Silicon Valley, best known for its consumer electronics, software and online services. Founded in 1976 as Apple Computer Company by Steve Jobs, Steve Wozniak and Ronald Wayne, the company was incorporated by Jobs and Wozniak as Apple Computer, Inc. the following year. It was renamed to its current name in 2007 as the company had expanded its focus from computers to consumer electronics. Apple is considered part of the Big Tech group, alongside Nvidia, Microsoft, Alphabet, Amazon, and Meta.",-1,0.0,0.30532518,0.10818193,noise,"ID: 39
Symbol: AAPL
Security: Apple Inc.
Cluster: noise
Prob: 0.000

Apple Inc. is an American multinational technology company headquartered in Cupertino, California, in Silicon Valley, best known for its consumer electronics, software and online services. Founded in..."
39,40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor chips for electronics, flat panel displays for computers, smartphones, televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, and is the second largest supplier of semiconductor equipment in the world based on revenue behind Dutch company ASML.",-1,0.0,0.3476348,-0.19482827,noise,"ID: 40
Symbol: AMAT
Security: Applied Materials
Cluster: noise
Prob: 0.000

Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor chips for electronics, flat panel displays for computers,..."
40,41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin,"AppLovin Corporation is an American mobile technology company headquartered in Palo Alto, California. Founded in 2012, the company helps developers market, monetize, analyze and publish their apps through its mobile advertising, marketing, and analytics platforms MAX, AppDiscovery, and SparkLabs. AppLovin also has large investments in various mobile game publishers. In 2020, 49% of AppLovin's revenue came from businesses using its software and 51% from consumers making in-app purchases.",-1,0.0,0.1775957,0.0037078676,noise,"ID: 41
Symbol: APP
Security: AppLovin
Cluster: noise
Prob: 0.000

AppLovin Corporation is an American mobile technology company headquartered in Palo Alto, California. Founded in 2012, the company helps developers market, monetize, analyze and publish their apps..."
41,42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,"Aptiv PLC is an American automotive technology supplier with headquarters in Schaffhausen, Switzerland. Aptiv grew out of the now-defunct American company, Delphi Automotive Systems, which itself was formerly a component of General Motors.",-1,0.0,0.21180157,-0.09349329,noise,"ID: 42
Symbol: APTV
Security: Aptiv
Cluster: noise
Prob: 0.000

Aptiv PLC is an American automotive technology supplier with headquarters in Schaffhausen, Switzerland. Aptiv grew out of the now-defunct American company, Delphi Automotive Systems, which itself was..."
42,43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,"Arch Capital Group Ltd. is a Bermuda exempted public company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. The company is headquartered in Bermuda and operates globally in 60 offices in North America, Europe, Asia and Australia.",-1,0.0,-0.09564478,0.20494543,noise,"ID: 43
Symbol: ACGL
Security: Arch Capital Group
Cluster: noise
Prob: 0.000

Arch Capital Group Ltd. is a Bermuda exempted public company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the..."
43,44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",-1,0.0,0.07451052,-0.06134946,noise,"ID: 44
Symbol: ADM
Security: Archer Daniels Midland
Cluster: noise
Prob: 0.000

The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The..."
44,45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,"Arista Networks, Inc. is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments. These products include 10/25/40/50/100/200/400/800 gigabit low-latency cut-through Ethernet switches. Arista's Linux-based network operating system, Extensible Operating System (EOS), runs on all Arista products.",-1,0.0,0.1507383,-0.08660268,noise,"ID: 45
Symbol: ANET
Security: Arista Networks
Cluster: noise
Prob: 0.000

Arista Networks, Inc. is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined..."
45,46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,"Arthur J. Gallagher & Co. (Gallagher) is an insurance brokerage and risk management services company based in Rolling Meadows, Illinois, a suburb of Chicago. The company provides insurance brokerage and risk management services, which primarily includes processing of workers compensation and automobile insurance claims via the company's adjusters.",-1,0.0,-0.054302,0.12501886,noise,"ID: 46
Symbol: AJG
Security: Arthur J. Gallagher & Co.
Cluster: noise
Prob: 0.000

Arthur J. Gallagher & Co. (Gallagher) is an insurance brokerage and risk management services company based in Rolling Meadows, Illinois, a suburb of Chicago. The company provides insurance brokerage..."
46,47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,"Assurant, Inc. is a global provider of risk management products and services with headquarters in Atlanta. Its businesses provide a diverse set of specialty, niche-market insurance products in the property, casualty, extended device protection, and preneed insurance sectors. The company's main operating segments are Global Housing and Global Lifestyle.",-1,0.0,0.01433722,0.12055569,noise,"ID: 47
Symbol: AIZ
Security: Assurant
Cluster: noise
Prob: 0.000

Assurant, Inc. is a global provider of risk management products and services with headquarters in Atlanta. Its businesses provide a diverse set of specialty, niche-market insurance products in the..."
47,48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T,T,AT&T,https://en.wikipedia.org/wiki/AT%26T,"AT&T Inc., an abbreviation for its predecessor's former name, the American Telephone and Telegraph Company, is an American multinational telecommunications holding company headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's third largest telecommunications company by revenue and the third largest wireless carrier in the United States behind T-Mobile and Verizon. As of 2023, AT&T was ranked 32nd on the Fortune 500 rankings of the largest United States corporations, with revenues of $122.4 billion.",-1,0.0,-0.011907566,0.08377086,noise,"ID: 48
Symbol: T
Security: AT&T
Cluster: noise
Prob: 0.000

AT&T Inc., an abbreviation for its predecessor's former name, the American Telephone and Telegraph Company, is an American multinational telecommunications holding company headquartered at Whitacre..."
48,49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,"Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors, serving about three million natural gas distribution customers in over 1,400 communities in nine states from the Blue Ridge Mountains in the East to the Rocky Mountains in the West.",-1,0.0,-0.35171354,-0.33494043,noise,"ID: 49
Symbol: ATO
Security: Atmos Energy
Cluster: noise
Prob: 0.000

Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors, serving about three million natural gas distribution customers in over..."
49,50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,"Autodesk, Inc. is an American multinational software corporation that provides software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Francisco, California, and has offices worldwide. Its U.S. offices are located in the states of California, Oregon, Colorado, Texas, Michigan, New Hampshire and Massachusetts. Its Canadian offices are located in the provinces of Ontario, Quebec, Alberta, and British Columbia.",-1,0.0,0.20927052,-0.108889885,noise,"ID: 50
Symbol: ADSK
Security: Autodesk
Cluster: noise
Prob: 0.000

Autodesk, Inc. is an American multinational software corporation that provides software products and services for the architecture, engineering, construction, manufacturing, media, education, and..."
50,51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services, headquartered in Roseland, New Jersey.",-1,0.0,0.12529156,-0.06925687,noise,"ID: 51
Symbol: ADP
Security: Automatic Data Processing
Cluster: noise
Prob: 0.000

Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services, headquartered in Roseland, New Jersey."
51,52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,"AutoZone, Inc., doing business as AutoZone, is an American retailer of aftermarket automotive parts and accessories, the largest in the United States. Founded in 1979, AutoZone has 7,140 stores across the United States, Mexico, Puerto Rico, Brazil, and the US Virgin Islands. The company is based in Memphis, Tennessee.",-1,0.0,-0.029288825,-0.046119478,noise,"ID: 52
Symbol: AZO
Security: AutoZone
Cluster: noise
Prob: 0.000

AutoZone, Inc., doing business as AutoZone, is an American retailer of aftermarket automotive parts and accessories, the largest in the United States. Founded in 1979, AutoZone has 7,140 stores..."
52,53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments.",-1,0.0,-0.12982948,0.041861176,noise,"ID: 53
Symbol: AVB
Security: AvalonBay Communities
Cluster: noise
Prob: 0.000

AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments."
53,54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials, apparel branding labels and tags, RFID inlays, and specialty medical products. The company is a member of the Fortune 500 and is headquartered in Mentor, Ohio.",-1,0.0,0.23428153,-0.10724031,noise,"ID: 54
Symbol: AVY
Security: Avery Dennison
Cluster: noise
Prob: 0.000

Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials, apparel branding labels and tags, RFID inlays, and specialty medical products. The..."
54,55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,"Axon Enterprise, Inc. is an American company based in Scottsdale, Arizona, that develops weapons and technology products for military, law enforcement, and civilians.",-1,0.0,0.12129612,-0.23523432,noise,"ID: 55
Symbol: AXON
Security: Axon Enterprise
Cluster: noise
Prob: 0.000

Axon Enterprise, Inc. is an American company based in Scottsdale, Arizona, that develops weapons and technology products for military, law enforcement, and civilians."
