ID,Symbol,Security,Wikipedia_URL
1,MMM,3M,https://en.wikipedia.org/wiki/3M
2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith
3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories
4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie
5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture
6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.
7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD
8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation
9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac
10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies
11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products
12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb
13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies
14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation
15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology
17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion
18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy
19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate
20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.
21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.
22,MO,Altria,https://en.wikipedia.org/wiki/Altria
23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company)
24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor
25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren
26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power
27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express
28,AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group
29,AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower
30,AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works
31,AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial
32,AME,Ametek,https://en.wikipedia.org/wiki/Ametek
33,AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen
34,APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol
35,ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices
36,AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company)
37,APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation
38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management
39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.
40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials
41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin
42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv
43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group
44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland
45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks
46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant
48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T
49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy
50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk
51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company)
52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone
53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities
54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison
55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise
56,BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes
57,BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation
58,BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America
59,BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International
60,BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company)
61,BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway
62,BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy
