ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
83,CPB,Campbell's Company (The),https://en.wikipedia.org/wiki/Campbell%27s,2,3.8194592,3.9369597
84,COF,Capital One,https://en.wikipedia.org/wiki/Capital_One,14,2.234511,6.955573
85,CAH,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,8,2.8509414,4.7198176
86,KMX,CarMax,https://en.wikipedia.org/wiki/CarMax,0,1.6570112,4.306785
87,CCL,Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,6,0.97954893,4.712243
88,CARR,Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,-1,2.0381846,2.4573417
89,CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,10,2.665424,2.2822864
90,CBOE,Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,3,0.602705,5.750672
91,CBRE,CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,6,0.061560567,5.8839555
92,CDW,CDW Corporation,https://en.wikipedia.org/wiki/CDW,-1,-0.46628758,3.0487459
93,COR,Cencora,https://en.wikipedia.org/wiki/Cencora,8,3.127873,4.2303343
94,CNC,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,8,2.9822488,4.684981
95,CNP,CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,12,5.8050685,1.6957777
96,CF,CF Industries,https://en.wikipedia.org/wiki/CF_Industries,2,2.9040678,3.0684547
97,CRL,Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories,9,2.0043206,-0.26007527
98,SCHW,Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,14,1.6593112,6.956203
99,CHTR,Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,5,-1.1847057,4.2924414
100,CVX,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,12,5.7208037,2.878682
101,CMG,Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,2,3.3112524,4.1246886
102,CB,Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited,16,2.5081184,6.437748
103,CHD,Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,10,3.6979823,2.9564278
104,CI,Cigna,https://en.wikipedia.org/wiki/Cigna,15,3.2861867,5.917287
105,CINF,Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial,15,3.2100809,6.24832
106,CTAS,Cintas,https://en.wikipedia.org/wiki/Cintas,15,3.5573716,5.56367
107,CSCO,Cisco,https://en.wikipedia.org/wiki/Cisco,21,-0.060149,2.285173
108,C,Citigroup,https://en.wikipedia.org/wiki/Citigroup,14,2.5520365,6.7660336
109,CFG,Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group,14,2.3468046,7.0400324
110,CLX,Clorox,https://en.wikipedia.org/wiki/Clorox,7,4.1050086,3.23525
111,CME,CME Group,https://en.wikipedia.org/wiki/CME_Group,3,0.60692775,5.764217
112,CMS,CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy,12,5.724059,1.5483117
113,KO,Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company,1,4.28523,3.869341
114,CTSH,Cognizant,https://en.wikipedia.org/wiki/Cognizant,-1,0.50070304,2.7918582
115,COIN,Coinbase,https://en.wikipedia.org/wiki/Coinbase,3,0.49709412,5.2506847
116,CL,Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,7,4.3911266,3.3772624
117,CMCSA,Comcast,https://en.wikipedia.org/wiki/Comcast,5,-1.308885,3.7399182
118,CAG,Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,2,3.5726614,3.6266615
